Time (s),F3 (µV),F4 (µV),Cz (µV),Pz (µV)
0.0,2.4835707650561636,2.853064986097655,-2.1187984101135164,8.628468964073853
0.004,1.8208944031325545,9.347690976287018,2.706727201377826,5.426759061679423
0.008,8.256528433064208,7.254705531394435,0.6568576188842314,12.210366622125616
0.012,15.12642873807798,10.052289326989234,12.040491160066589,10.479398859781556
0.016,8.814732152103671,11.592315841013706,20.55070391914903,5.711603618577794
0.02,11.263809573496836,16.409360527965887,12.649969730519093,-5.331727149619833
0.024,22.748143156388704,38.334125090642196,25.202947823818395,2.280610770824555
0.028,21.069319804490398,32.3289105437697,22.084619119995462,-7.559278549858735
0.032,17.22131141218536,21.274496442658254,14.4253744394652,-11.706809458584413
0.036000000000000004,24.56858855047647,22.705753923327954,14.702616668826547,-12.317808787182447
0.04,21.770595241023454,32.350132161440605,19.74731408405463,-0.786258129834069
0.044,23.930082730213496,32.62033226118501,11.030230121222893,5.178716651982974
0.048,29.573258814167996,31.893371164027045,2.5505829457768208,-1.4008591840065405
0.052000000000000005,20.83011366144128,26.47753723726525,-3.695081256091007,0.1630627520899104
0.056,23.728208915907047,25.098528385795063,-6.97944570143526,0.9593389720308343
0.06,31.415917650229567,24.754794904070465,-14.314522835560977,11.85326597068188
0.064,30.951295642723224,20.409821054494202,-25.93401238411086,18.737400507612605
0.068,39.28380569978155,5.295328538290402,-7.885651496646743,6.468430492632102
0.07200000000000001,34.77430122922489,11.282269276922548,-18.869120018576766,-8.21373467691934
0.076,33.75544402918274,3.9315258942181943,-17.969798242952745,2.096916023434587
0.08,49.544640119708525,4.636054101471683,-19.310669075287617,-0.9508539656744812
0.084,42.380306231043605,14.172392149716924,-20.56214251366324,-16.977498726589435
0.088,45.0297122310028,-3.4132834418867475,-14.620564523317633,-9.097846365967952
0.092,38.63831769997859,-11.195956725078274,-17.63204729300586,-6.187149174339657
0.096,43.99453350020469,-9.178388308758372,6.411634746969432,-5.18307325106184
0.1,48.10743876330701,-15.220118132728127,-6.172559992111985,-3.9538545954267734
0.10400000000000001,42.51411405455218,-18.979026641706273,-0.18603367593879927,9.897222858834935
0.108,50.741896270138035,-21.012756580047938,7.433777460102295,6.426380525176732
0.112,46.33110376079938,-16.186018968900896,20.131320742835662,2.5543364707830554
0.116,48.22209677703404,-33.94415825341551,16.95910350635357,-1.1991019036882111
0.12,46.89280336026659,-27.10045713780339,12.840451345750758,12.182100122921284
0.124,59.25744313273549,-34.61058982912537,26.23222637235213,4.336652217998632
